I have done his doors.	ഞാനാണ് അയാൾക്ക് വാതിലുകൾ ചെയ്തു കൊടുത്തത്
He repaid my debt in the plantation.	ഒരു റബ്ബര്‍മുതലാളിയുടെ അടുത്ത് എന്റെ കടമെല്ലാം വീട്ടിയത് അയാളാണ്.
You said you'd never leave me, and you left me, You are a liar!	നിങ്ങള്‍ എന്നെ ഉപേക്ഷിക്കില്ല എന്ന് പറഞ്ഞു, പിന്നെ നിങ്ങള്‍ എന്നെ ഉപേക്ഷിച്ചു. നിങ്ങള്‍ നുണയനാണ്!
I have appeared before this committee and given it all my cooperation.	ഞാന്‍ ഈ കമ്മിറ്റക്ക് മുന്‍പില്‍ ഹാജരായി ഏറ്റവും നല്ലരീതിയില്‍ സഹകരിച്ചിരിക്കുന്നു.
I was lost, and I didn't know what happened, but then I met Baloo.	വഴിയൊക്കെ തെറ്റി, എന്തൊക്കെ സംഭവിച്ചെന്ന് ഓർമയില്ല... അങ്ങനെ ഇരിക്കുമ്പോ ഞാൻ ബാലുവിനെ പരിചയപെട്ടു.
Come back tonight and I'll have an answer for you.	രാത്രി വാ. അപ്പോൾ പറയാം.
You saw the light under the door and hid behind the curtains.	വെളിച്ചം കണ്ടപ്പോൾ നീ കർട്ടന്റെ പിറകിൽ ഒളിച്ചു.
I bought 'em at the mall.	ഞാനിന്നലെ മാളിൽ നിന്ന് വാങ്ങിയതാണ്.
I have powerful people I can call upon.	എനിക്ക് ശക്തമായ ജനങ്ങളുണ്ട്‌ എനിക്ക് വിളിക്കാന്‍ പറ്റുന്നവര്‍.
You besiege me, you bring the milk you send me false notices... you send gas workers, you pinch my letters.	നീ എന്നെ പിന്തുടരുന്നു, എനിക്ക് പാൽ കൊണ്ടുവരുന്നു, വ്യാജ നോട്ടീസുകൾ അയക്കുന്നു... . ഗാസ് പണിക്കാരെ അയക്കുന്നു, എന്റെ കത്തുകൾ അടിച്ചു മാറ്റുന്നു.
Above a saloon, it's true but walk up a flight I'll be expecting you.	അത് ശരിയാണ്... ..പക്ഷേ ആ പടികള്‍ക്ക് മുകളില്‍.. ..ഞാന്‍ നിന്നെ കാത്തിരിക്കും.
Sir, not to beat a dead horse, but if there was ever a time for us to put boots on Saudi sand,	സർ, ചത്ത കുതിരയെ കുറിച്ചു സംസാരിക്കണോ.. എന്തെങ്കിലും ചാന്സുണ്ടോ സൗദി മണ്ണിൽ കാലു കുത്താൻ?
Grandma's asleep. She's sick.	മുത്തശ്ശി ഉറക്കത്തിലാണ് ,സുഖമില്ല .വീണ്ടും
Where do you think the pressure's coming from?	എന്നെ പുറത്തിറക്കാന്‍ ചരട് വലികുന്നത് ആരാണ് എന്നാണ് നീ കരുതുന്നത്?
I know we can do much better than what we've got.	പക്ഷെ നമുക്ക് നിലവിലുള്ളതിനെക്കാള്‍ വളരെയേറെ മികച്ച കാര്യങ്ങള്‍ ചെയ്യാന്‍ കഴിയും എന്ന് എനിക്ക് അറിയാം.
I'll take the testimony from right after the murder, when he couldn't remember a thing about the movies, great emotional stress or not.	കൊല കഴിഞ്ഞപ്പോള്‍ തന്നെ മൊഴി എടുത്തതില്‍ തെറ്റൊന്നും ഇല്ല. പ്രത്യേകിച്ച് അവനു സിനിമയുടെ പേര് ഓര്‍ക്കാന്‍ കഴിയാത്തപ്പോള്‍, മാനസിക പിരിമുറുക്കം വേറെ വിഷയമാണ്.
Good afternoon. Sorry to bother you.	ശുഭസായാഹ്നം, ബുദ്ധിമുട്ടിച്ചതില്‍ ക്ഷമിക്കണം.
They bumped into us on the road and started shooting at once.	അവര്‍ റോഡില്‍ വെച്ച് പെട്ടെന്ന് ഞങ്ങളെ തടഞ്ഞ് നിര്‍ത്തി വെടി ഉതിര്‍ത്തു..
Let's write in death certificate it's a heart attack. So that family's reputation will not be ashamed.	ഡെത്ത് സെര്‍ട്ടിഫികേറ്റില്‍ ഹാര്‍ട്ട് അറ്റാക്ക്‌ എന്ന് എഴുതിയേക്കാം, അത് കൊണ്ട് കുടുംബത്തിന്‍റെ സല്‍പ്പേര്‌ നശിക്കില്ല.
Is it possible that I'll never see how proud... you are of our daughter?"	"നമ്മുടെ കുഞ്ഞിന്റെ പേരിൽ നിങ്ങൾ എത്രമാത്രം അഭിമാനിക്കുന്നെന്നു്.. " ഞാൻ കണ്ടിട്ടില്ല. അതു് ഇനി സാദ്ധ്യമാണോ?"
I think he arrived just last night.	ഇന്നലെ രാത്രി വന്നയാളുടെയാണെന്ന് തോന്നുന്നു.
I still have almost half of him left.	ഇപ്പോഴും അവന്‍റെ പാതിയോളം ബാക്കിയുണ്ട് .
Let's go come along and enjoy the spectacle	പോകാം. ശരി സുഹൃത്തുക്കളെ. വരൂ കണ്ടു വിസ്മയം കൊള്ളൂ.
It's just poetry. I read it line by line.	അത് സാഹിത്യം ആണ്, ഞാൻ ഒരോ വരിയും വായിച്ചു.
None of your business. Get lost!	നീ തിരക്കണ്ട .പോയി തുലയാടാ
I'd like to live in your court and serve you.	- ഞാന്‍ ഇവിടെ കഴിയാന്‍ ഇഷ്ടപ്പെടുന്നുí.
I don't know what his policies are, but I'm sure he'll make a good one.	അയാളുടെ നയങ്ങളെന്താണെന്നെനിക്കറിയില്ല പക്ഷേ അത്‌ നല്ലതാണെന്നെനിക്കുറപ്പാണ്‌
There are no issues or overtones that may not be raised in this courtroom.	ഈ കോടതി മുറിയില്‍ ഉന്നയിക്കാന്‍ പറ്റാത്ത വൈകാരിക അടിയൊഴുക്കുകളും മാനങ്ങളുംഇല്ല.
Rather, the charge is that of conscious participation in a nationwide, government-organised system of cruelty and injustice, in violation of every moral and legal principle known to all civilised nations.	മറിച്ചു , ചാര്‍ജ്ജ് എന്തെന്നാല്‍ അറിഞ്ഞു കൊണ്ടുള്ള പങ്കാളിത്തമാണ് ദേശമാകെയുള്ള , സര്‍ക്കാര്‍ സംഘടിത ക്രൂരതയുടെയും അനീതിയുടെയും വ്യവസ്ഥയില്‍ , പരിഷ്കൃത രാജ്യങ്ങളില്‍ നിലവിലുള്ള എല്ലാ ധാര്‍മ്മിക നൈതിക തത്വങ്ങളെയും തകിടം മറിച്ചു കൊണ്ട് .
So at 1 0:45 you go see Pirou at the hospital.	അതിനാല്‍, 10.45ന് നീ ആശുപത്രിയില്‍ പോയി പിര്യൗവിനെ കാണണം.
If you want your husband heal, pray.	നിന്‍റെ ഭര്‍ത്താവിനു സുഖമാവണമെങ്കില്‍ പ്രാര്‍ഥിക്ക് .
You received a confirmation for a flight to Tokyo!	ടോക്കിയോയിലേക്കുള്ള വിമാനത്തിന് നിനക്ക് ടിക്കറ്റ് ശരിയായി, അല്ലേ!
My articles do not interest him.	എന്റെ ലേഖനങ്ങളില്‍ അവള്‍ താല്പര്യം പ്രകടിപ്പിക്കാറില്ല.
He wasn't flattered. He said, "A measly thousand bucks for me is much too little.	അവൻ പറഞ്ഞു: " എനിക്ക് വെറും ആയിരം ഡോളറോ?
They are wanting his death.	അവര്‍ അവന്‍റെ മരണം ആഗ്രഹിക്കുന്നു.
Innovators go through the finest schools and then are required to design things that wear out and break down right on schedule.	കണ്ടുപിടിത്തക്കാർ മികച്ച വിദ്യാഭ്യാസം ലഭിച്ച് പുറത്തുവരുന്നു, എന്നിട്ട്, സമയബന്ധിതമായി തകരാറിലാകുന്നതും പൊട്ടിപ്പോകുന്നതുമായ സാധനങ്ങൾ നിർമ്മിക്കാൻ വേണ്ടിയുള്ളവർ ആയിത്തീരുന്നു.
This has been going on for 15 years.	15 കൊല്ലമായി ഇത് തുടരുന്നു.
You can converse with couples in English...	കന്നഡ അറിയാത്ത ആണുങ്ങളോടും, പെണ്ണുങ്ങളോടും നിനക്ക് ഇംഗ്ലീഷിൽ സംസാരിക്കാമല്ലോ...
I'll think you are the one who owes me a story.	നീ എനിക്കൊരു കഥ തരാനുണ്ട്‌ ..
